MSFT
ORCL
ADBE
PLTR
PANW
SNPS
FTNT
CRWD
GPN
GDDY
CPAY
GEN
VRSN
FFIV
AKAM
NVDA
AVGO
AMD
TXN
QCOM
ADI
INTC
MU
NXPI
MCHP
ON
MPWR
SWKS
QRVO
CRM
INTU
UBER
NOW
ADP
ADSK
ROP
CDNS
FICO
ANSS
PAYX
TYL
PTC
PAYC
DAY
CSCO
MSI
HPE
ZBRA
JNPR
AMAT
LRCX
KLAC
TER
ANET
DELL
HPQ
NTAP
WDC
STX
SMCI
APH
TEL
GLW
JBL
GRMN
KEYS
FTV
TDY
TRMB
FSLR
ENPH
ACN
IBM
FI
FIS
IT
CTSH
LDOS
BR
CDW
EPAM
JKHY
AAPL
V
MA
AXP
PYPL
COF
DFS
SYF
JPM
BAC
WFC
C
BK
BRK-B
AIG
ACGL
BX
BLK
KKR
AMP
RJF
STT
TROW
NTRS
PFG
BEN
IVZ
MS
GS
SCHW
MKTX
SPGI
ICE
MCO
CME
MSCI
NDAQ
CBOE
FDS
PGR
CB
TRV
ALL
HIG
CINF
WRB
L
AIZ
PNC
USB
TFC
MTB
FITB
HBAN
RF
CFG
KEY
MMC
AON
AJG
BRO
WTW
ERIE
AFL
MET
PRU
GL
EG
